;per_day_f;per_day_m;per_week_f;per_week_m
protein_g;48;57;336;399
ballaststoffe_g;30;30;210;210
alkohol_g;10;20;70;140
vitamin_a_mgE;0.8;1;5.6;7
vitamin_d_ug;20;20;140;140
vitamin_e_mE;12;15;84;105
vitamin_k_ug;60;70;420;490
thiaminB1_mg;1;1.2;7;8.4
riboflavinB2_mg;1.2;1.6;8.4;11.2
niacin_mgE;12;15;84;105
vitamin_b6_mg;1.4;1.6;9.8;11.2
folat_uE;300;300;2100;2100
panthotensäure_mg;6;6;42;42
biotin_ug;45;45;315;315
vitamin_b12_ug;4;4;28;28
vitamin_c_mg;95;110;665;770
wasser_ml;2650;2650;18550;18550
natrium_mg;1500;1500;10500;10500
chlorid_mg;2300;2300;16100;16100
kalium_mg;4000;4000;28000;28000
calcium_mg;1000;1000;7000;7000
phosphor_mg;700;700;4900;4900
magnesium_mg;300;350;2100;2450
eisen_mg;15;10;105;70
iod_ug;150;200;1050;1400
zink_mg;8;14;56;98
selen_ug;60;70;420;490
kupfer_mg[1:1.5];1.25;1.25;8.75;8.75
mangan_mg[2:5];3.5;3.5;24.5;24.5
chrom_ug[3:100];65;65;455;455
molybdän_ug[50:100];75;75;525;525
linolsäure_%energy;2.5;2.5;2.5;2.5
